"Date (UTC)","Timestamp (UTC)","Price"
"12-30-2024 00:00","1735516803","0.255"
"12-31-2024 00:00","1735603204","0.14"
"01-01-2025 00:00","1735689604","0.165"
"01-02-2025 00:00","1735776003","0.165"
"01-03-2025 00:00","1735862404","0.155"
"01-04-2025 00:00","1735948803","0.155"
"01-05-2025 00:00","1736035203","0.155"
"01-06-2025 00:00","1736121603","0.155"
"01-07-2025 00:00","1736208004","0.175"
"01-08-2025 00:00","1736294403","0.175"
"01-09-2025 00:00","1736380803","0.175"
"01-10-2025 00:00","1736467204","0.175"
"01-11-2025 00:00","1736553604","0.19"
"01-12-2025 00:00","1736640004","0.185"
"01-13-2025 00:00","1736726404","0.185"
"01-14-2025 00:00","1736812803","0.18"
"01-15-2025 00:00","1736899203","0.185"
"01-16-2025 00:00","1736985604","0.19"
"01-17-2025 00:00","1737072004","0.19"
"01-18-2025 00:00","1737158404","0.185"
"01-19-2025 00:00","1737244804","0.19"
"01-20-2025 00:00","1737331204","0.195"
"01-21-2025 00:00","1737417603","0.195"
"01-22-2025 00:00","1737504003","0.19"
"01-23-2025 00:00","1737590404","0.19"
"01-24-2025 00:00","1737676803","0.19"
"01-25-2025 00:00","1737763205","0.195"
"01-26-2025 00:00","1737849604","0.195"
"01-27-2025 00:00","1737936004","0.185"
"01-28-2025 00:00","1738022404","0.185"
"01-29-2025 00:00","1738108804","0.185"
"01-30-2025 00:00","1738195205","0.185"
"01-31-2025 00:00","1738281604","0.185"
"02-01-2025 00:00","1738368005","0.18"
"02-02-2025 00:00","1738454404","0.18"
"02-03-2025 00:00","1738540805","0.18"
"02-04-2025 00:00","1738627204","0.18"
"02-05-2025 00:00","1738713604","0.18"
"02-06-2025 00:00","1738800005","0.18"
"02-07-2025 00:00","1738886404","0.18"
"02-08-2025 00:00","1738972804","0.175"
"02-09-2025 00:00","1739059206","0.18"
"02-10-2025 00:00","1739145605","0.18"
"02-11-2025 00:00","1739232004","0.18"
"02-12-2025 00:00","1739318404","0.18"
"02-13-2025 00:00","1739404804","0.18"
"02-14-2025 00:00","1739491205","0.175"
